ticker,name,exchange,category name,country
MAGIS.PA,Ymagis Société Anonyme,PAR,Entertainment - Diversified,France
LBON.PA,Compagnie Lebon,PAR,Asset Management,France
LACR.PA,Lacroix SA,PAR,Scientific & Technical Instruments,France
KN.PA,Natixis S.A.,PAR,Money Center Banks,France
KIO.F,Fitzroy River Corporation Limited,FRA,,France
JBOG.PA,Jacques Bogart S.A.,PAR,Personal Products,France
ITE.PA,Itesoft SA,PAR,Technical & System Software,France
IPS.PA,Ipsos SA,PAR,Marketing Services,France
IPN.PA,Ipsen S.A.,PAR,Drugs - Generic,France
IPH.PA,Innate Pharma S.A.,PAR,Biotechnology,France
IMPL.PA,Implanet S.A.,PAR,,France
IML.PA,Affine R.E.,PAR,REIT - Diversified,France
HONV.PA,Thales SA,PAR,,France
GZF.DE,ENGIE SA,FRA,Diversified Utilities,France
GTT.PA,Gaztransport & Technigaz S.A.,PAR,Diversified Machinery,France
GFT.PA,GameLoft S.E.,PAR,,France
GFI.PA,GFI Informatique SA,PAR,Information Technology Services,France
GFC.PA,Gecina SA,PAR,REIT - Diversified,France
GEA.PA,Grenobloise d'Electronique et d'Automatismes Société Anonyme,PAR,Business Equipment,France
GBT.PA,Guerbet SA,PAR,Medical Appliances & Equipment,France
FZC.F,Bill Barrett Corporation,FRA,,France
FUC.F,Fanuc Corporation,FRA,,France
FREY.PA,Frey SA,PAR,REIT - Retail,France
FPN.PA,Foncière Paris Nord,PAR,REIT - Office,France
FPG.PA,Union Technologies Informatique Group S.A.,PAR,Information Technology Services,France
FNTS.PA,Finatis Société Anonyme,PAR,Food Wholesale,France
FNAC.PA,Fnac Darty SA,PAR,"Specialty Retail, Other",France
FMC1.F,Ford Motor Company,FRA,Auto Manufacturers - Major,France
FFP.PA,FFP Société anonyme,PAR,Asset Management,France
FEM.PA,auFeminin.com,PAR,Internet Information Providers,France
FBEL.PA,Fromageries Bel,PAR,Food - Major Diversified,France
FB2A.F,"Facebook, Inc.",FRA,,France
FB1.F,Farmer Bros. Co.,FRA,,France
FAYE.PA,"Fayenceries de Sarreguemines, Digoin & Vitry-le-Francois Société Anonyme",PAR,Personal Products,France
CIV.PA,Caisse Régionale De Crédit Agricole Mutuel D'ille-Et-Vilaine,PAR,Money Center Banks,France
CGM.PA,Cegedim SA,PAR,Healthcare Information Services,France
CGG.PA,CGG,PAR,,France
CCA.PA,CCA International,PAR,,France
BOL.PA,Bollore,PAR,Air Delivery & Freight Services,France
BELI.PA,Le Bélier S.A.,PAR,Auto Parts,France
AREVA.PA,AREVA SA,PAR,,France
ALUMS.PA,Umanis SA,PAR,Information Technology Services,France
ALTUT.PA,Tuto4pc.com Group SA,PAR,,France
ALTRA.PA,Traqueur SA,PAR,Scientific & Technical Instruments,France
ALTER.PA,Theradiag SA,PAR,Medical Laboratories & Research,France
ALQGC.PA,Quantum Genomics Société Anonyme,PAR,,France
ALORO.PA,Orolia SA,PAR,,France
ALINN.PA,Millet Innovation SA,PAR,Personal Products,France
ALHVS.PA,Harvest S.A.,PAR,Business Software & Services,France
ALGEN.PA,genOway Société Anonyme,PAR,Biotechnology,France
