ticker,name,exchange,category name,country
NFC.L,Next Fifteen Communications Group plc,LSE,Advertising Agencies,United Kingdom
MCRO.L,Micro Focus International plc,LSE,Technical & System Software,United Kingdom
JD.L,JD Sports Fashion plc,LSE,"Specialty Retail, Other",United Kingdom
IOG.L,Independent Oil and Gas plc,LSE,Independent Oil & Gas,United Kingdom
HFG.L,Hilton Food Group plc,LSE,Food - Major Diversified,United Kingdom
GLIF.L,GLI Finance Limited,LSE,Asset Management,United Kingdom
FXPO.L,Ferrexpo Plc,LSE,Steel & Iron,United Kingdom
FOXT.L,Foxtons Group PLC,LSE,Property Management,United Kingdom
FOUR.L,4imprint Group plc,LSE,"Specialty Retail, Other",United Kingdom
FMPG.L,F&C Managed Portfolio Trust plc - Growth Portfolio,LSE,,United Kingdom
FLYB.L,Flybe Group PLC,LSE,Major Airlines,United Kingdom
FFY.L,Fyffes plc,LSE,,United Kingdom
FDSA.L,Fidessa group plc,LSE,Business Software & Services,United Kingdom
FBT.L,Forbidden Technologies plc,LSE,Technical & System Software,United Kingdom
FAN.L,Volution Group plc,LSE,General Building Materials,United Kingdom
CARD.L,Card Factory PLC,LSE,"Specialty Retail, Other",United Kingdom
VOF.L,VinaCapital Vietnam Opportunity Fund Limited,LSE,,United Kingdom
TPF.L,Taliesin Property Fund Limited,LSE,Property Management,United Kingdom
TIR.L,Tiger Resource Finance Ord,LSE,Asset Management,United Kingdom
TT.L,TT.L,LSE,,United Kingdom
NG.L,National Grid plc,LSE,Diversified Utilities,United Kingdom
GLEN.L,Glencore Plc,LSE,Industrial Metals & Minerals,United Kingdom
VOD.L,Vodafone Group Plc,LSE,Wireless Communications,United Kingdom
SRP.L,Serco Group plc,LSE,Business Services,United Kingdom
HSBA.L,HSBC Holdings plc,LSE,Money Center Banks,United Kingdom
STAN.L,Standard Chartered PLC,LSE,Money Center Banks,United Kingdom
GSK.L,GlaxoSmithKline plc,LSE,Drug Manufacturers - Major,United Kingdom
SVI.L,SVG Capital Plc,LSE,,United Kingdom
CPG.L,Compass Group PLC,LSE,Restaurants,United Kingdom
TIG.L,Innovation Group plc,LSE,,United Kingdom
CCL.L,Carnival plc,LSE,"Recreational Goods, Other",United Kingdom
SIA.L,SOCO International plc,LSE,Independent Oil & Gas,United Kingdom
RR.L,Rolls-Royce Holdings plc,LSE,Aerospace/Defense - Major Diversified,United Kingdom
OML.L,Old Mutual plc,LSE,Life Insurance,United Kingdom
IMG.L,Imagination Technologies Group plc,LSE,Semiconductor Equipment & Materials,United Kingdom
III.L,3i Ord,LSE,Asset Management,United Kingdom
IAP.L,ICAP plc,LSE,,United Kingdom
CNA.L,Centrica plc,LSE,Diversified Utilities,United Kingdom
WEIR.L,The Weir Group PLC,LSE,Diversified Machinery,United Kingdom
TCG.L,Thomas Cook Group plc,LSE,"Recreational Goods, Other",United Kingdom
SAB.L,SABMiller plc,LSE,,United Kingdom
RNK.L,The Rank Group Plc,LSE,Gaming Activities,United Kingdom
RIO.L,Rio Tinto plc,LSE,Industrial Metals & Minerals,United Kingdom
REX.L,Rexam PLC,LSE,,United Kingdom
PFC.L,Petrofac Limited,LSE,Oil & Gas Equipment & Services,United Kingdom
LMI.L,Lonmin plc,LSE,Industrial Metals & Minerals,United Kingdom
LGEN.L,Legal & General Group Plc,LSE,Life Insurance,United Kingdom
ISAT.L,Inmarsat Plc,LSE,Wireless Communications,United Kingdom
GOG.L,The Go-Ahead Group plc,LSE,Railroads,United Kingdom
CRST.L,Crest Nicholson Holdings plc,LSE,,United Kingdom
COB.L,Cobham plc,LSE,Aerospace/Defense - Major Diversified,United Kingdom
WTB.L,Whitbread PLC,LSE,Restaurants,United Kingdom
WG.L,John Wood Group PLC,LSE,Oil & Gas Equipment & Services,United Kingdom
VCT.L,Victrex plc,LSE,Specialty Chemicals,United Kingdom
ULVR.L,Unilever PLC,LSE,Personal Products,United Kingdom
TLW.L,Tullow Oil plc,LSE,Independent Oil & Gas,United Kingdom
SNR.L,Senior plc,LSE,Aerospace/Defense - Major Diversified,United Kingdom
SHB.L,Shaftesbury PLC,LSE,REIT - Diversified,United Kingdom
SDY.L,Speedy Hire Plc,LSE,Business Services,United Kingdom
SDR.L,Schroders plc,LSE,Asset Management,United Kingdom
QRT.L,The Quarto Group Inc.,LSE,Publishing - Newspapers,United Kingdom
NANO.L,Nanoco Group plc,LSE,Semiconductor Equipment & Materials,United Kingdom
MRW.L,Wm Morrison Supermarkets PLC,LSE,Grocery Stores,United Kingdom
MGGT.L,Meggitt PLC,LSE,Aerospace/Defense - Major Diversified,United Kingdom
JMAT.L,Johnson Matthey Plc,LSE,Specialty Chemicals,United Kingdom
THT.L,Thorntons PLC,LSE,,United Kingdom
ITV.L,ITV plc,LSE,Broadcasting - TV,United Kingdom
HOME.L,Home Retail Group plc,LSE,,United Kingdom
GNS.L,Genus plc,LSE,Biotechnology,United Kingdom
GNC.L,Greencore Group plc,LSE,Food - Major Diversified,United Kingdom
CLLN.L,Carillion plc,LSE,General Contractors,United Kingdom
WTAN.L,Witan Investment Trust plc,LSE,,United Kingdom
WMH.L,William Hill plc,LSE,Gaming Activities,United Kingdom
VM.L,Virgin Money Holdings (UK) plc,LSE,,United Kingdom
UKOG.L,UK Oil & Gas Investments PLC,LSE,Asset Management,United Kingdom
TRS.L,Tarsus Group plc,LSE,Advertising Agencies,United Kingdom
TEP.L,Telecom Plus PLC,LSE,Wireless Communications,United Kingdom
TATE.L,Tate & Lyle plc,LSE,Food - Major Diversified,United Kingdom
SLI.L,Standard Life Investments Property Income Trust Limited,LSE,REIT - Diversified,United Kingdom
SGE.L,The Sage Group plc,LSE,Technical & System Software,United Kingdom
SBRY.L,J Sainsbury plc,LSE,Grocery Stores,United Kingdom
RTO.L,Rentokil Initial plc,LSE,Business Services,United Kingdom
RTN.L,The Restaurant Group plc,LSE,Restaurants,United Kingdom
RSA.L,RSA Insurance Group plc,LSE,Property & Casualty Insurance,United Kingdom
RRS.L,Randgold Resources Limited,LSE,Gold,United Kingdom
PSON.L,Pearson plc,LSE,Publishing - Newspapers,United Kingdom
PNN.L,Pennon Group Plc,LSE,Water Utilities,United Kingdom
PLND.L,Poundland Group plc,LSE,,United Kingdom
OTMT.IL,ORASCOM TELECOM MEDIA AND TECHN,IOB,,United Kingdom
NOG.L,Nostrum Oil and Gas PLC,LSE,Independent Oil & Gas,United Kingdom
LVD.L,Lavendon Group plc,LSE,,United Kingdom
LRM.L,Lombard Risk Management plc,LSE,Technical & System Software,United Kingdom
KIE.L,Kier Group plc,LSE,General Contractors,United Kingdom
KGF.L,Kingfisher plc,LSE,Home Improvement Stores,United Kingdom
KAZ.L,KAZ Minerals plc,LSE,Industrial Metals & Minerals,United Kingdom
JLT.L,Jardine Lloyd Thompson Group plc,LSE,Insurance Brokers,United Kingdom
IMI.L,IMI plc,LSE,Diversified Machinery,United Kingdom
IGG.L,IG Group Holdings plc,LSE,Investment Brokerage - National,United Kingdom
HSTN.L,Hansteen Holdings PLC,LSE,REIT - Industrial,United Kingdom
HOC.L,Hochschild Mining PLC,LSE,Industrial Metals & Minerals,United Kingdom
GWP.L,GW Pharmaceuticals plc,LSE,,United Kingdom
GKN.L,GKN plc,LSE,Auto Parts,United Kingdom
GFRD.L,Galliford Try plc,LSE,Residential Construction,United Kingdom
CWK.L,Cranswick plc,LSE,Food - Major Diversified,United Kingdom
CLDN.L,Caledonia Investments Ord,LSE,Asset Management,United Kingdom
WEB.L,Webis Holdings Plc,LSE,Gaming Activities,United Kingdom
VLS.L,Velocys plc,LSE,,United Kingdom
VER.L,Vernalis plc,LSE,Biotechnology,United Kingdom
UANC.L,Urban&Civic plc,LSE,Real Estate Development,United Kingdom
TSCO.L,Tesco PLC,LSE,Grocery Stores,United Kingdom
TRY.L,TR Property Ord,LSE,,United Kingdom
TPK.L,Travis Perkins plc,LSE,General Building Materials,United Kingdom
TCM.L,Telit Communications PLC,LSE,Communication Equipment,United Kingdom
SXS.L,Spectris plc,LSE,Scientific & Technical Instruments,United Kingdom
SSPG.L,SSP Group plc,LSE,Restaurants,United Kingdom
SMP.L,St. Modwen Properties PLC,LSE,Property Management,United Kingdom
SL.L,Standard Life Aberdeen plc,LSE,,United Kingdom
SKP.L,Skyepharma PLC,LSE,,United Kingdom
SAGA.L,Saga plc,LSE,Property & Casualty Insurance,United Kingdom
ROL.L,Rotala PLC,LSE,Railroads,United Kingdom
REL.L,RELX PLC,LSE,Publishing - Newspapers,United Kingdom
RE.L,R.E.A. Holdings plc,LSE,Farm Products,United Kingdom
PZC.L,PZ Cussons Plc,LSE,Personal Products,United Kingdom
PUB.L,Punch Taverns plc,LSE,Restaurants,United Kingdom
PRV.L,Porvair plc,LSE,Pollution & Treatment Controls,United Kingdom
PML.L,Papua Mining plc,LSE,Industrial Metals & Minerals,United Kingdom
PDG.L,Pendragon PLC,LSE,Auto Dealerships,United Kingdom
PAY.L,PayPoint plc,LSE,Business Services,United Kingdom
PAG.L,The Paragon Group of Companies PLC,LSE,Mortgage Investment,United Kingdom
PA.L,PARTNERSHIP ASSURANCE GROUP PLC,LSE,,United Kingdom
OXIG.L,Oxford Instruments plc,LSE,Semiconductor Equipment & Materials,United Kingdom
OVG.L,Ovoca Gold plc,LSE,Gold,United Kingdom
OCDO.L,Ocado Group plc,LSE,Grocery Stores,United Kingdom
MTW.L,Mattioli Woods PLC,LSE,Asset Management,United Kingdom
MTPH.L,Midatech Pharma Plc,LSE,Biotechnology,United Kingdom
