NAME OF COMPANY,SYMBOL,Yahoo Ticker,IPO Year
Aspinwall and Company Limited,ASPINWALL,ASPINWALL.NS,2016
Astec LifeSciences Limited,ASTEC,ASTEC.NS,2009
Aster DM Healthcare Limited,ASTERDM,ASTERDM.NS,2018
Astral Limited,ASTRAL,ASTRAL.NS,2007
Astra Microwave Products Limited,ASTRAMICRO,ASTRAMICRO.NS,2004
AstraZeneca Pharma India Limited,ASTRAZEN,ASTRAZEN.NS,2001
Astron Paper & Board Mill Limited,ASTRON,ASTRON.NS,2017
Atal Realtech Limited,ATALREAL,ATALREAL.NS,2023
Atam Valves Limited,ATAM,ATAM.NS,2023
Adani Total Gas Limited,ATGL,ATGL.NS,2018
Ather Energy Limited,ATHERENERG,ATHERENERG.NS,2025
Allcargo Terminals Limited,ATL,ATL.NS,2023
ATLANTAA LIMITED,ATLANTAA,ATLANTAA.NS,2006
Atlanta Electricals Limited,ATLANTAELE,ATLANTAELE.NS,2025
Atlas Cycles (Haryana) Limited,ATLASCYCLE,ATLASCYCLE.NS,1996
Atul Limited,ATUL,ATUL.NS,1998
Atul Auto Limited,ATULAUTO,ATULAUTO.NS,2013
AU Small Finance Bank Limited,AUBANK,AUBANK.NS,2017
Auri Grow India Limited,AURIGROW,AURIGROW.NS,2020
Aurionpro Solutions Limited,AURIONPRO,AURIONPRO.NS,2005
Aurobindo Pharma Limited,AUROPHARMA,AUROPHARMA.NS,2000
Aurum PropTech Limited,AURUM,AURUM.NS,2015
Ausom Enterprise Limited,AUSOMENT,AUSOMENT.NS,1996
Automotive Axles Limited,AUTOAXLES,AUTOAXLES.NS,2003
Autoline Industries Limited,AUTOIND,AUTOIND.NS,2007
Avadh Sugar & Energy Limited,AVADHSUGAR,AVADHSUGAR.NS,2017
Avalon Technologies Limited,AVALON,AVALON.NS,2023
Avantel Limited,AVANTEL,AVANTEL.NS,2024
Avanti Feeds Limited,AVANTIFEED,AVANTIFEED.NS,2015
AVG Logistics Limited,AVG,AVG.NS,2023
Aditya Vision Limited,AVL,AVL.NS,2024
Avonmore Capital & Management Services Limited,AVONMORE,AVONMORE.NS,2023
AVRO INDIA LIMITED,AVROIND,AVROIND.NS,2022
AVT Natural Products Limited,AVTNPL,AVTNPL.NS,2007
Awfis Space Solutions Limited,AWFIS,AWFIS.NS,2024
Antony Waste Handling Cell Limited,AWHCL,AWHCL.NS,2021
AWL Agri Business Limited,AWL,AWL.NS,2022
Axis Bank Limited,AXISBANK,AXISBANK.NS,1998
AXISCADES Technologies Limited,AXISCADES,AXISCADES.NS,2000
Axita Cotton Limited,AXITA,AXITA.NS,2022
AYM Syntex Limited,AYMSYNTEX,AYMSYNTEX.NS,2015
Azad Engineering Limited,AZAD,AZAD.NS,2023
Bafna Pharmaceuticals Limited,BAFNAPH,BAFNAPH.NS,2020
B.A.G Films and Media Limited,BAGFILMS,BAGFILMS.NS,2003
Baid Finserv Limited,BAIDFIN,BAIDFIN.NS,2023
Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ-AUTO.NS,2008
Bajaj Consumer Care Limited,BAJAJCON,BAJAJCON.NS,2010
Bajaj Electricals Limited,BAJAJELEC,BAJAJELEC.NS,2007
Bajaj Finserv Limited,BAJAJFINSV,BAJAJFINSV.NS,2008
Bajaj Healthcare Limited,BAJAJHCARE,BAJAJHCARE.NS,2021
Bajaj Housing Finance Limited,BAJAJHFL,BAJAJHFL.NS,2024
Bajaj Hindusthan Sugar Limited,BAJAJHIND,BAJAJHIND.NS,1995
Bajaj Holdings & Investment Limited,BAJAJHLDNG,BAJAJHLDNG.NS,1995
Indef Manufacturing Limited,BAJAJINDEF,BAJAJINDEF.NS,2025
Bajel Projects Limited,BAJEL,BAJEL.NS,2023
Bajaj Finance Limited,BAJFINANCE,BAJFINANCE.NS,2003
Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,BALAJEE.NS,2024
Balaji Telefilms Limited,BALAJITELE,BALAJITELE.NS,2000
Balaji Amines Limited,BALAMINES,BALAMINES.NS,2007
BALAXI PHARMACEUTICALS LIMITED,BALAXI,BALAXI.NS,2015
Balkrishna Paper Mills Limited,BALKRISHNA,BALKRISHNA.NS,2015
Balkrishna Industries Limited,BALKRISIND,BALKRISIND.NS,2006
Balmer Lawrie & Company Limited,BALMLAWRIE,BALMLAWRIE.NS,1995
